X11.koko,X14.butcheranimal,X2.smalltree,X12.jabuka,X13.mbila,X15.butcherfish,X1.hole,X16.fishpoison,X5.smokytorch,X8.fishtrap,X7.firewood,X20.pendi,X6.doka,X4.basket,X19.traps,X17.nethunt,X9.gun,X10.spear,X3.bigtree,X23.kombi,X18.climbigtree,X21.garden
7,3,4,8,6,20,5,1,9,18,2,19,11,14,16,21,15,10,13,22,12,17
3,10,2,13,9,5,11,7,1,14,6,4,12,8,18,16,17,20,22,19,15,21
4,1,3,8,7,6,2,11,15,17,5,12,9,18,14,13,20,22,21,19,16,10
7,19,14,2,1,20,17,8.5,5,3,15,12,10,4,22,13,21,11,18,8.5,16,6
10,13,1,20,19,12,15,9,18,2,14,8,3,4,11,5,7,6,21,16,22,17
5,1,8,4,6,2,16,7,11,14,3,10,12,13,9,15,18,20,22,19,21,17
6,8,2,7,5,1,14,15,12,4,9,10,3,11,16,13,17,18,22,19,21,20
1,2,8,7,6,12,17,11,15,3,5,10,9,4,13,20,21,22,19,16,18,14
14,7,2,8,12,4,1,3,5,9,15,13,6,11,20,10,22,17,18,21,19,16
9,7,6,13,10,3,1,4.5,11,15,12,14,2,16,8,4.5,22,21,19,17,18,20
1,5,7,2,4,6,16,11,15,8,10,13,12,9,3,17,20,19,14,22,21,18
1,7,5,2,8,10,9,12,15,3,6,16,22,4,11,17,18,14,19,13,20,21
3,4,10,2,7,8,11,9,20,12,6,1,5,18,17,13,15,14,19,16,22,21
2,10,6,3,7,22,1,19,11,5,4,12,21,20,14,9,13,16,17,8,15,18
2,1,10,3,6,4,9,13,12,22,7,15,11,16,5,14,8,21,19,20,17,18
8,11,2,6,5,10,1,7,15,22,9,13,14,19,12,17,3,21,4,20,18,16
1,4,19,2,8,14,9,20,5,11,18,3,17,16,22,13,6,7,12,15,10,21
21,15,22,18,17,11,7,4,3,12,10,9,16,20,2,14,19,13,5,8,1,6
4,2,3,8,7,1,17,11,5,12,15,6,14,16,13,21,22,19,9,20,10,18
10,7,14,8,9,15,4,13,2,18,19,12,1,22,17,6,3,5,16,11,21,20
13,3,9,5,7,4,8,6,2,1,18,11,19,10,17,15,22,21,12,16,14,20
7,1,2,5,8,9,3,11,10,4,12,6,19,14,13,22,17,15,20,16,21,18
7,8,1,6,2,3,9,12,11,4,14,10,5,13,17,20,19,18,15,21.5,16,21.5
